id,created_by,created_date,updated_by,updated_date,is_deleted,payment_sr_num,amount_payable,amount_paid,balance,cheque_no,cheque_date,cash_amount,is_cheque_bounce,cheque_bounce_charge,bank_name,neft_transfer_id,is_neft_failed,receipt_no,receipt_date,payment_mode,offline_payment_by,payment_date,bk_no,is_other,payment_remark,payment_status,membership_id,membership_invoice_id,basic_amount,is_tds,membership_slab_id,subcat_value,tds_amount,tally_processed,advance_tax_inoviced_raised,final_payment_status
34039,sonalp,2026-07-02,,,0,1,17700.0,17700.0,0,,,17700.0,0,0,,,0,RCP279516,2026-07-03,11,13.0,2026-07-03,MBK3000039,0,Paid via CASH for MBK3000039,22,50462,53613,15000,0,586,15000,0,1,0,1
34002,satishj,2026-07-31,,,0,1,41300.0,41300.0,0,CHQ515712,2026-08-01,0.0,0,0,,,0,RCP347231,2026-08-01,10,11.0,2026-08-01,MBK3000002,0,Paid via CHEQUE for MBK3000002,22,32674,42285,35000,0,557,35000,0,1,0,1
34030,satishj,2026-07-10,,,0,1,35400.0,35400.0,0,CHQ404466,2026-07-11,0.0,0,0,,,0,RCP992717,2026-07-11,10,10.0,2026-07-11,MBK3000030,0,Paid via CHEQUE for MBK3000030,22,53324,53250,30000,0,544,30000,0,1,0,1
34040,satishj,2026-07-04,,,0,1,88500.0,88500.0,0,CHQ772612,2026-07-05,0.0,0,0,,,0,RCP782759,2026-07-05,10,10.0,2026-07-05,MBK3000040,0,Paid via CHEQUE for MBK3000040,22,55131,48747,75000,0,606,75000,0,1,0,1
34024,kirtik,2026-07-27,,,0,1,17700.0,17700.0,0,,,0.0,0,0,Bank of Baroda,NEFT919355714,0,RCP244383,2026-07-28,13,,2026-07-28,MBK3000024,0,Paid via NEFT for MBK3000024,22,47349,42024,15000,0,601,15000,0,1,0,1
34037,sonalp,2026-07-24,,,0,1,70800.0,70800.0,0,,,0.0,0,0,Axis Bank,NEFT446454337,0,RCP644103,2026-07-25,13,,2026-07-25,MBK3000037,0,Paid via NEFT for MBK3000037,22,59324,39307,60000,0,520,60000,0,1,0,1
34014,aishwarys,2026-07-17,,,0,1,29500.0,29500.0,0,,,0.0,0,0,Bank of Baroda,NEFT653388913,0,RCP596395,2026-07-18,13,,2026-07-18,MBK3000014,0,Paid via NEFT for MBK3000014,22,38300,31199,25000,0,548,25000,0,1,0,1
38578,kirtik,2026-07-25,,,0,1,88500.0,88500.0,0,,,0.0,0,0,HDFC BANK,NEFT918040539,0,RCP359486,2026-07-25,13,,2026-07-25,MBK4563628,0,Unmatched payment for MBK4563628,22,52293,54731,75000,0,520,75000,0,1,0,1
34006,kirtik,2026-07-04,,,0,1,59000.0,59000.0,0,CHQ624108,2026-07-05,0.0,0,0,,,0,RCP762652,2026-07-05,10,13.0,2026-07-05,MBK3000006,0,Paid via CHEQUE for MBK3000006,22,48843,37927,50000,0,536,50000,0,1,0,1
34016,satishj,2026-07-07,,,0,1,5900.0,5900.0,0,,,0.0,0,0,,,0,RCP295892,2026-07-08,20,,2026-07-08,MBK3000016,0,Paid via OTHER for MBK3000016,22,46259,52677,5000,0,627,5000,0,1,0,1
